epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,1088.97,1.68486,0.81048,1.53037,0.93289,1,0.98107,0.47763,1.75854,0.68795,1.69079,0.0009902,0.0009902,0.0009902
155,1096.2,1.72075,0.81885,1.5524,0.96459,1,0.995,0.50757,1.66689,0.67448,1.59625,0.0009836,0.0009836,0.0009836
156,1102.87,1.69122,0.80458,1.51446,0.96132,1,0.99259,0.49036,1.7148,0.66537,1.65593,0.000977,0.000977,0.000977
157,1110.36,1.68706,0.80477,1.52595,0.93184,1,0.98922,0.47132,1.77699,0.69763,1.77199,0.0009704,0.0009704,0.0009704
158,1116.97,1.73066,0.82982,1.54294,0.92451,1,0.98922,0.49372,1.70184,0.66934,1.61719,0.0009638,0.0009638,0.0009638
159,1124.46,1.67404,0.80671,1.52508,0.95356,1,0.99259,0.51701,1.68309,0.62579,1.61026,0.0009572,0.0009572,0.0009572
160,1131.3,1.72682,0.80337,1.54807,0.92551,1,0.98922,0.47829,1.79637,0.64824,1.78031,0.0009506,0.0009506,0.0009506
161,1138.5,1.70966,0.80375,1.52704,0.96532,0.99424,0.99017,0.52091,1.69876,0.66082,1.58653,0.000944,0.000944,0.000944
162,1145.89,1.71653,0.79854,1.53951,0.96382,1,0.99397,0.45542,1.79415,0.70157,1.77042,0.0009374,0.0009374,0.0009374
163,1152.58,1.72967,0.83032,1.54714,0.96167,1,0.99397,0.52264,1.67682,0.74803,1.6293,0.0009308,0.0009308,0.0009308
164,1160.2,1.72973,0.81109,1.5613,0.98223,1,0.995,0.51698,1.71967,0.67549,1.67427,0.0009242,0.0009242,0.0009242
165,1166.78,1.73115,0.83736,1.54806,0.99542,1,0.995,0.47717,1.64565,0.6513,1.62954,0.0009176,0.0009176,0.0009176
166,1174.05,1.7159,0.82343,1.53574,0.96381,1,0.99155,0.44597,1.83711,0.73227,1.87421,0.000911,0.000911,0.000911
167,1180.75,1.68924,0.81399,1.54656,0.92769,1,0.98922,0.53258,1.6528,0.65001,1.61658,0.0009044,0.0009044,0.0009044
168,1188.24,1.69957,0.80082,1.55311,0.96072,1,0.98776,0.52177,1.79133,0.68982,1.67928,0.0008978,0.0008978,0.0008978
169,1195.01,1.67473,0.80841,1.49973,0.95117,1,0.99155,0.52446,1.61471,0.68609,1.55241,0.0008912,0.0008912,0.0008912
170,1202.17,1.66967,0.79569,1.51294,0.92695,1,0.98833,0.52079,1.69335,0.65522,1.59581,0.0008846,0.0008846,0.0008846
171,1209.4,1.67104,0.78878,1.51792,0.96034,1,0.99397,0.47893,1.74846,0.68232,1.75821,0.000878,0.000878,0.000878
172,1216.18,1.71662,0.80155,1.5193,0.93047,0.96429,0.95508,0.50414,1.64451,0.6135,1.62676,0.0008714,0.0008714,0.0008714
173,1223.59,1.6691,0.80016,1.51438,0.99214,1,0.995,0.50293,1.71419,0.66026,1.73785,0.0008648,0.0008648,0.0008648
174,1230.18,1.70518,0.80724,1.52958,0.96526,0.9926,0.99259,0.54423,1.64381,0.62299,1.61261,0.0008582,0.0008582,0.0008582
175,1237.51,1.6699,0.78267,1.51401,0.96522,0.99138,0.99259,0.53534,1.62952,0.66259,1.64314,0.0008516,0.0008516,0.0008516
176,1244.08,1.68233,0.81546,1.51584,0.96374,0.94967,0.99067,0.48531,1.75076,0.75129,1.67725,0.000845,0.000845,0.000845
177,1251.6,1.74437,0.81249,1.51546,0.96126,1,0.99397,0.50867,1.61805,0.67938,1.60381,0.0008384,0.0008384,0.0008384
178,1258.32,1.70592,0.80258,1.5068,0.96024,1,0.99259,0.48597,1.7831,0.68482,1.75253,0.0008318,0.0008318,0.0008318
179,1265.68,1.71489,0.80796,1.52291,1,0.99372,0.995,0.54016,1.61201,0.61192,1.59306,0.0008252,0.0008252,0.0008252
180,1272.56,1.69045,0.7913,1.51309,0.95969,1,0.99397,0.52573,1.64939,0.63588,1.58314,0.0008186,0.0008186,0.0008186
181,1279.55,1.68205,0.80199,1.51513,1,0.99479,0.995,0.52836,1.63006,0.66414,1.65897,0.000812,0.000812,0.000812
182,1287.08,1.70657,0.82244,1.53107,0.96543,0.99736,0.99259,0.49829,1.73434,0.68144,1.72846,0.0008054,0.0008054,0.0008054
183,1293.64,1.68152,0.80473,1.50431,0.96526,0.99244,0.99259,0.54448,1.66239,0.63064,1.58852,0.0007988,0.0007988,0.0007988
184,1301.09,1.65081,0.79979,1.49408,0.96544,0.99788,0.99259,0.51988,1.69471,0.63184,1.711,0.0007922,0.0007922,0.0007922
185,1307.94,1.63213,0.7874,1.50087,0.96376,1,0.99397,0.5139,1.68059,0.65682,1.58146,0.0007856,0.0007856,0.0007856
186,1315.32,1.66289,0.78145,1.50317,1,0.99634,0.995,0.48576,1.67808,0.62309,1.67533,0.000779,0.000779,0.000779
187,1322.15,1.64005,0.77481,1.51564,0.96551,0.99985,0.99397,0.53089,1.70312,0.642,1.59873,0.0007724,0.0007724,0.0007724
